Asset_Identifier,Asset_Popularity_With_Funds,Asset_Risk_Type,Asset_Marketing_Proportion_Index,Asset_Type,Asset_Price,Office_Identifier,Office_Establishment_Year,Office_Scale,Office_Location_Type,Office_Type,Asset_Office_Sales,Office_Year,Asset
DRZ11,8.85,1,0.113123893,14,122.5388,OFF018,2009,1,2,2,1609.9044,4,ETF
FDX10,6.385,1,0.123111453,13,36.9874,OFF027,1985,1,2,3,388.1614,28,Bonds
FDB34,15.25,0,0.026480954,13,87.6198,OFF027,1985,1,2,3,2180.495,28,Bonds
FDU02,13.35,0,0.102511504,4,230.6352,OFF046,1997,2,0,1,3435.528,16,Bonds
FDK43,9.8,0,0.02681843,10,126.002,OFF013,1987,0,2,1,2150.534,26,Bonds
FDA46,13.6,0,0.117818348,13,192.9136,OFF049,1999,1,0,1,2527.3768,14,Bonds
FDC02,21.35,0,0.069102831,3,259.9278,OFF018,2009,1,2,2,6768.5228,4,Bonds
FDL50,12.15,1,0.042277867,3,126.5046,OFF013,1987,0,2,1,373.5138,26,Bonds
FDM39,6.42,0,0.089498926,4,178.1002,OFF010,1998,2,2,0,358.2004,15,Bonds
NCP05,19.6,0,0.028135431,8,153.3024,OFF045,2002,2,1,1,2428.8384,11,Private Equity
FDV49,10,0,0.025879577,3,265.2226,OFF045,2002,2,1,1,5815.0972,11,Bonds
FDL12,15.85,1,0.121632721,0,60.622,OFF046,1997,2,0,1,2576.646,16,Bonds
FDS02,10.195,1,0.255394896,4,196.8794,OFF019,1985,2,0,0,780.3176,28,Bonds
NCL17,7.39,0,0.067779712,8,143.8812,OFF046,1997,2,0,1,3134.5864,16,Private Equity
FDM40,10.195,0,0.159803853,5,141.5154,OFF013,1987,0,2,1,850.8924,26,Bonds
FDR13,9.895,1,0.028696932,3,117.0492,OFF013,1987,0,2,1,810.9444,26,Bonds
FDA43,10.895,0,0.065041581,6,196.3794,OFF017,2007,2,1,1,3121.2704,6,Bonds
NCP18,12.15,0,0.028760013,9,151.4708,OFF017,2007,2,1,1,4815.0656,6,Private Equity
FDK21,7.905,0,0.010053105,13,249.0408,OFF018,2009,1,2,2,6258.52,4,Bonds
NCX54,9.195,0,0.048157338,9,106.1622,OFF045,2002,2,1,1,2117.244,11,Private Equity
DRK35,8.365,0,0.071958197,7,38.0506,OFF049,1999,1,0,1,796.9626,14,ETF
FDY21,15.1,0,0.173481304,13,194.511,OFF046,1997,2,0,1,4910.275,16,Bonds
FDI26,5.94,0,0.061082177,3,180.0344,OFF019,1985,2,0,0,892.172,28,Bonds
FDM20,10,0,0.038748011,6,246.9144,OFF018,2009,1,2,2,3185.1872,4,Bonds
FDV27,7.97,1,0.040071131,10,87.3514,OFF045,2002,2,1,1,1062.6168,11,Bonds
FDF09,6.215,0,0.012090074,6,38.2848,OFF027,1985,1,2,3,484.7024,28,Bonds
FDY40,15.5,1,0.15028599,5,51.0692,OFF019,1985,2,0,0,147.8076,28,Bonds
FDY45,17.5,0,0.026015519,13,255.8356,OFF027,1985,1,2,3,2543.356,28,Bonds
FDC46,17.7,0,0.195068226,13,185.4266,OFF010,1998,2,2,0,184.4266,15,Bonds
FDH19,19.35,0,0.033082215,10,172.5738,OFF035,2004,2,1,1,4865.6664,9,Bonds
FDZ03,13.65,1,0.078946455,4,186.024,OFF045,2002,2,1,1,1118.544,11,Bonds
DRH37,17.6,0,0.041700756,14,164.8526,OFF045,2002,2,1,1,2302.3364,11,ETF
NCI17,8.645,0,0.143422643,8,95.841,OFF046,1997,2,0,1,2027.361,16,Private Equity
FDJ58,15.6,1,0.105296072,13,170.1764,OFF046,1997,2,0,1,3435.528,16,Bonds
FDL12,15.85,1,0.121531501,0,59.222,OFF013,1987,0,2,1,599.22,26,Bonds
FDH35,18.25,0,0.068386192,15,164.7526,OFF045,2002,2,1,1,4604.6728,11,Bonds
FDG02,7.855,0,0.011324862,3,189.6188,OFF017,2007,2,1,1,2285.0256,6,Bonds
NCZ18,7.825,0,0.186357148,9,254.3698,OFF049,1999,1,0,1,5580.7356,14,Private Equity
FDC29,8.39,1,0.024205661,5,114.0176,OFF046,1997,2,0,1,2290.352,16,Bonds
FDQ10,12.85,0,0.033230816,13,172.3422,OFF049,1999,1,0,1,1207.0954,14,Bonds
FDN48,13.35,0,0.113720344,0,89.9804,OFF019,1985,2,0,0,643.1628,28,Bonds
FDL04,19,0,0.112556507,5,104.9622,OFF017,2007,2,1,1,1587.933,6,Bonds
FDV25,5.905,0,0.054276717,3,222.5456,OFF045,2002,2,1,1,5305.0944,11,Bonds
FDD58,7.76,0,0.059352241,13,101.87,OFF046,1997,2,0,1,1697.79,16,Bonds
FDN04,11.8,1,0.014087057,5,180.3344,OFF046,1997,2,0,1,1427.4752,16,Bonds
FDV45,16.75,0,0.045230944,13,187.9556,OFF018,2009,1,2,2,4693.89,4,Bonds
NCL18,18.85,0,0.293417759,9,194.6136,OFF019,1985,2,0,0,583.2408,28,Private Equity
FDR12,12.6,1,0.031382044,0,171.3764,OFF027,1985,1,2,3,3091.9752,28,Bonds
FDG20,15.5,1,0.12639886,6,177.0028,OFF017,2007,2,1,1,2479.4392,6,Bonds
FDZ55,6.055,0,0.025403898,6,160.992,OFF035,2004,2,1,1,2716.464,9,Bonds
FDQ49,20.2,1,0.039057677,2,155.963,OFF027,1985,1,2,3,3285.723,28,Bonds
FDN33,6.305,1,0.123115764,13,95.6436,OFF046,1997,2,0,1,661.8052,16,Bonds
FDN27,20.85,0,0.039624006,10,117.2808,OFF049,1999,1,0,1,1523.3504,14,Bonds
FDW20,20.75,0,0.040421193,6,122.173,OFF010,1998,2,2,0,369.519,15,Bonds
DRG27,8.895,0,0.105274111,4,39.9138,OFF049,1999,1,0,1,690.4346,14,ETF
DRI25,19.6,0,0.033970195,14,55.1614,OFF045,2002,2,1,1,1381.535,11,ETF
FDA44,19.7,0,0.053212652,6,57.893,OFF035,2004,2,1,1,622.523,9,Bonds
NCR17,9.8,0,0.024378706,8,114.5492,OFF035,2004,2,1,1,1274.3412,9,Private Equity
FDU04,7.93,0,0.009714595,5,120.0414,OFF019,1985,2,0,0,487.3656,28,Bonds
FDF41,12.15,0,0.131383762,5,246.046,OFF049,1999,1,0,1,1231.73,14,Bonds
FDB56,8.75,1,0.07461309,6,187.4556,OFF035,2004,2,1,1,3755.112,9,Bonds
NCP18,12.15,0,0.028459761,9,149.9708,OFF027,1985,1,2,3,4363.6532,28,Private Equity
FDB56,8.75,1,0.074627201,6,187.8556,OFF046,1997,2,0,1,1314.2892,16,Bonds
FDT28,13.3,0,0.063695084,5,151.0708,OFF045,2002,2,1,1,1805.6496,11,Bonds
FDD10,20.6,1,0.045797829,13,178.5344,OFF027,1985,1,2,3,2854.9504,28,Bonds
FDW57,8.31,1,0.115857223,13,179.1028,OFF049,1999,1,0,1,3896.2616,14,Bonds
DRB48,16.75,1,0.024832806,14,38.7822,OFF013,1987,0,2,1,667.7974,26,ETF
FDP09,19.75,0,0.034027909,13,212.0902,OFF018,2009,1,2,2,3185.853,4,Bonds
FDH14,17.1,1,0.0467696,3,141.1838,OFF013,1987,0,2,1,2247.7408,26,Bonds
FDA47,10.5,1,0.116576702,0,163.121,OFF013,1987,0,2,1,1794.331,26,Bonds
FDG12,6.635,1,0.006336295,0,121.3098,OFF045,2002,2,1,1,2530.7058,11,Bonds
DRE60,9.395,0,0.278974075,14,225.372,OFF019,1985,2,0,0,679.116,28,ETF
DRK49,14.15,0,0.035913805,14,41.4138,OFF013,1987,0,2,1,812.276,26,ETF
FDD03,13.3,0,0.079806266,4,232.53,OFF046,1997,2,0,1,699.09,16,Bonds
FDS52,8.89,0,0.005505481,5,102.4016,OFF017,2007,2,1,1,2732.4432,6,Bonds
FDW39,6.69,1,0.064625342,10,176.937,OFF019,1985,2,0,0,176.437,28,Bonds
FDX34,6.195,0,0.071636937,13,121.7098,OFF027,1985,1,2,3,4097.3332,28,Bonds
FDV11,9.1,1,0.100047421,1,173.2054,OFF045,2002,2,1,1,3151.8972,11,Bonds
FDD17,7.5,0,0.032677678,5,239.0906,OFF049,1999,1,0,1,5942.265,14,Bonds
FDZ16,16.85,1,0.160760054,5,192.4478,OFF017,2007,2,1,1,4843.695,6,Bonds
FDZ46,7.485,0,0.06911065,13,109.0228,OFF035,2004,2,1,1,2542.0244,9,Bonds
DRA12,11.6,0,0.041177505,14,140.3154,OFF017,2007,2,1,1,2552.6772,6,ETF
FDY58,11.65,0,0.040081193,13,227.0694,OFF018,2009,1,2,2,1141.847,4,Bonds
NCF19,13,0,0.035307322,9,47.5034,OFF017,2007,2,1,1,680.4476,6,Private Equity
DRJ13,12.65,0,0.063017847,14,159.0578,OFF045,2002,2,1,1,2085.9514,11,ETF
FDB14,20.25,1,0.171938781,3,92.512,OFF010,1998,2,2,0,186.424,15,Bonds
FDJ38,8.6,1,0.040197932,3,190.153,OFF035,2004,2,1,1,3036.048,9,Bonds
FDW11,12.6,0,0.049058014,1,62.7194,OFF017,2007,2,1,1,866.8716,6,Bonds
FDL40,17.7,0,0.01161096,5,95.041,OFF035,2004,2,1,1,868.869,9,Bonds
DRI49,14.15,0,0.183507295,14,82.4276,OFF046,1997,2,0,1,1137.1864,16,ETF
FDV38,19.25,0,0.102349519,4,52.7956,OFF017,2007,2,1,1,928.1252,6,Bonds
DRG23,8.88,0,0.086708987,7,151.7682,OFF013,1987,0,2,1,762.341,26,ETF
NCP30,20.5,0,0.032835147,9,40.2822,OFF045,2002,2,1,1,707.0796,11,Private Equity
FDY25,12,0,0.033809913,3,180.5976,OFF027,1985,1,2,3,7968.2944,28,Bonds
NCH54,13.5,0,0.07266912,9,160.292,OFF046,1997,2,0,1,1438.128,16,Private Equity
NCR53,12.15,0,0.144338493,8,224.4404,OFF027,1985,1,2,3,6976.2524,28,Private Equity
FDS52,8.89,0,0.009163216,5,101.7016,OFF010,1998,2,2,0,101.2016,15,Bonds
FDG02,7.855,0,0.011307038,3,188.5188,OFF018,2009,1,2,2,952.094,4,Bonds
NCO26,7.235,0,0.076855628,9,116.0492,OFF046,1997,2,0,1,1969.4364,16,Private Equity
FDH35,18.25,0,0.059956876,15,165.4526,OFF027,1985,1,2,3,5262.4832,28,Bonds
FDB51,6.92,0,0.038532062,4,60.5852,OFF045,2002,2,1,1,1314.2892,11,Bonds
FDX44,9.3,0,0.043209581,6,90.8172,OFF017,2007,2,1,1,535.3032,6,Bonds
NCN07,18.5,0,0.056816465,11,132.1284,OFF010,1998,2,2,0,263.6568,15,Private Equity
NCC31,8.02,0,0.019866705,9,154.5972,OFF035,2004,2,1,1,1402.1748,9,Private Equity
NCX54,9.195,0,0.048331717,9,105.1622,OFF017,2007,2,1,1,1693.7952,6,Private Equity
NCO55,12.8,0,0.091221855,11,105.5938,OFF045,2002,2,1,1,2143.876,11,Private Equity
NCC30,16.6,0,0.027622076,9,177.6344,OFF049,1999,1,0,1,2676.516,14,Private Equity
FDI16,14,1,0.15402922,5,53.064,OFF035,2004,2,1,1,905.488,9,Bonds
FDP16,18.6,0,0.039355947,5,246.3802,OFF049,1999,1,0,1,7370.406,14,Bonds
FDB11,16,0,0.060836524,15,226.8404,OFF035,2004,2,1,1,6301.1312,9,Bonds
NCB06,17.6,0,0.082316506,8,160.692,OFF035,2004,2,1,1,1597.92,9,Private Equity
FDA45,21.25,0,0.155350299,13,178.237,OFF035,2004,2,1,1,529.311,9,Bonds
NCO26,7.235,0,0.076841095,9,117.5492,OFF035,2004,2,1,1,1969.4364,9,Private Equity
DRJ25,14.6,0,0.151419185,14,50.3692,OFF017,2007,2,1,1,1034.6532,6,ETF
FDR28,13.85,1,0.026001976,5,161.521,OFF018,2009,1,2,2,1794.331,4,Bonds
FDI04,13.65,1,0.073209447,5,197.6426,OFF018,2009,1,2,2,2768.3964,4,Bonds
DRK12,9.5,0,0.041683481,14,31.29,OFF027,1985,1,2,3,898.83,28,ETF
FDX20,7.365,0,0.042560252,6,226.172,OFF046,1997,2,0,1,3169.208,16,Bonds
NCI18,18.35,0,0.014081156,9,223.5746,OFF018,2009,1,2,2,3589.9936,4,Private Equity
FDB36,5.465,1,0.048544854,0,132.5626,OFF018,2009,1,2,2,262.3252,4,Bonds
FDN13,18.6,0,0.152918384,2,99.8358,OFF017,2007,2,1,1,1910.1802,6,Bonds
DRD24,13.85,0,0.030969274,14,140.9154,OFF017,2007,2,1,1,1701.7848,6,ETF
FDQ28,14,1,0.060376776,5,154.5656,OFF013,1987,0,2,1,2471.4496,26,Bonds
FDM22,14,1,0.04192285,13,54.764,OFF013,1987,0,2,1,1331.6,26,Bonds
FDR07,21.35,0,0.077367431,6,97.0094,OFF027,1985,1,2,3,1808.9786,28,Bonds
FDV25,5.905,0,0.045838211,3,222.5456,OFF018,2009,1,2,2,3315.684,4,Bonds
DRF49,7.27,0,0.071077939,14,114.2518,OFF046,1997,2,0,1,2618.5914,16,ETF
FDW51,6.155,1,0.094659871,10,214.556,OFF046,1997,2,0,1,2769.728,16,Bonds
DRL01,19.5,1,0.077608838,14,233.4958,OFF017,2007,2,1,1,5375.0034,6,ETF
FDP25,15.2,0,0.021327477,3,216.8824,OFF017,2007,2,1,1,2838.9712,6,Bonds
FDL50,12.15,1,0.042485444,3,125.0046,OFF018,2009,1,2,2,1743.0644,4,Bonds
NCB30,14.6,0,0.025578526,9,198.8084,OFF027,1985,1,2,3,5555.4352,28,Private Equity
FDW11,12.6,0,0.0489808,1,61.9194,OFF018,2009,1,2,2,619.194,4,Bonds
NCM43,14.5,0,0.019471688,11,164.821,OFF035,2004,2,1,1,2120.573,9,Private Equity
FDK44,16.6,0,0.122918852,6,173.0738,OFF017,2007,2,1,1,3823.0236,6,Bonds
FDM15,11.8,1,0.057373797,10,151.4366,OFF013,1987,0,2,1,1360.2294,26,Bonds
FDS31,13.1,1,0.044155597,6,178.8318,OFF013,1987,0,2,1,3969.4996,26,Bonds
FDI32,17.7,0,0.291865402,6,115.1834,OFF010,1998,2,2,0,345.5502,15,Bonds
FDR47,17.85,0,0.087609529,1,196.5794,OFF010,1998,2,2,0,585.2382,15,Bonds
FDB35,12.3,1,0.064750025,15,92.6804,OFF045,2002,2,1,1,1010.6844,11,Bonds
NCU05,11.8,0,0.098312421,8,81.4618,OFF010,1998,2,2,0,161.1236,15,Private Equity
DRY23,9.395,1,0.191013663,14,42.1112,OFF019,1985,2,0,0,42.6112,28,ETF
FDO24,11.1,0,0.176573035,0,157.4604,OFF045,2002,2,1,1,3010.7476,11,Bonds
FDQ28,14,1,0.060134441,5,153.0656,OFF027,1985,1,2,3,6024.1584,28,Bonds
FDV39,11.3,0,0.007294652,10,198.1426,OFF045,2002,2,1,1,988.713,11,Bonds
NCO17,10,0,0.128478462,8,117.944,OFF019,1985,2,0,0,239.688,28,Private Equity
FDU50,5.75,1,0.075107656,4,112.8176,OFF013,1987,0,2,1,1374.2112,26,Bonds
FDT12,6.215,1,0.049381406,0,226.8062,OFF027,1985,1,2,3,4739.8302,28,Bonds
FDK58,11.35,1,0.045165796,13,100.0016,OFF018,2009,1,2,2,1012.016,4,Bonds
FDO08,11.1,1,0.09415375,6,165.7526,OFF019,1985,2,0,0,657.8104,28,Bonds
NCW29,14,0,0.028907832,8,130.431,OFF049,1999,1,0,1,778.986,14,Private Equity
FDE04,19.75,1,0.018059621,5,179.766,OFF045,2002,2,1,1,2336.958,11,Bonds
NCB19,6.525,0,0.090436094,9,85.0882,OFF049,1999,1,0,1,2233.0932,14,Private Equity
FDV15,10.3,0,0.146399712,10,103.9648,OFF049,1999,1,0,1,1661.8368,14,Bonds
FDL58,5.78,1,0.074264356,13,264.7568,OFF049,1999,1,0,1,4745.8224,14,Bonds
FDA08,11.85,1,0.050186726,6,164.1526,OFF045,2002,2,1,1,3124.5994,11,Bonds
FDT43,16.35,0,0.020631654,6,50.1324,OFF018,2009,1,2,2,467.3916,4,Bonds
NCX06,17.6,0,0.01561108,9,182.5976,OFF027,1985,1,2,3,5070.7328,28,Private Equity
FDT20,10.5,0,0.041395445,6,37.6164,OFF046,1997,2,0,1,540.6296,16,Bonds
FDB41,19,1,0.097313129,5,48.0718,OFF046,1997,2,0,1,992.7078,16,Bonds
NCN55,14.6,0,0.059582996,11,238.8538,OFF049,1999,1,0,1,6008.845,14,Private Equity
FDE40,15.6,1,0.098663652,4,62.9194,OFF027,1985,1,2,3,2105.2596,28,Bonds
FDX49,4.615,1,0.101338651,3,232.63,OFF027,1985,1,2,3,5359.69,28,Bonds
NCM53,18.75,0,0.052146456,8,104.628,OFF045,2002,2,1,1,745.696,11,Private Equity
FDE36,5.26,1,0.041764487,0,161.8868,OFF035,2004,2,1,1,3275.736,9,Bonds
FDN57,18.25,0,0.054344186,13,140.2154,OFF045,2002,2,1,1,1701.7848,11,Bonds
FDI24,10.3,0,0.078362484,0,177.937,OFF027,1985,1,2,3,6704.606,28,Bonds
FDI19,15.1,0,0.052339069,10,242.7512,OFF046,1997,2,0,1,4119.9704,16,Bonds
FDF24,15.5,1,0.042464962,0,81.5934,OFF010,1998,2,2,0,327.5736,15,Bonds
FDG52,13.65,0,0.065732883,5,45.7402,OFF049,1999,1,0,1,780.9834,14,Bonds
DRF36,16.1,0,0.023625114,14,189.3846,OFF045,2002,2,1,1,3630.6074,11,ETF
FDS45,5.175,1,0.051643608,13,107.3622,OFF019,1985,2,0,0,317.5866,28,Bonds
FDX40,12.85,0,0.165694219,5,39.7164,OFF010,1998,2,2,0,231.6984,15,Bonds
DRK12,9.5,0,0.041878397,14,32.99,OFF035,2004,2,1,1,133.16,9,ETF
DRC27,13.8,0,0.058091482,4,245.1802,OFF035,2004,2,1,1,5650.6446,9,ETF
FDL58,5.78,1,0.081356682,13,263.7568,OFF017,2007,2,1,1,2636.568,6,Bonds
NCD30,19.7,0,0.026903714,9,96.0726,OFF045,2002,2,1,1,1272.3438,11,Private Equity
NCZ54,14.65,0,0.093830507,9,161.5552,OFF010,1998,2,2,0,324.9104,15,Private Equity
FDE10,6.67,1,0.150554711,13,130.0626,OFF010,1998,2,2,0,131.1626,15,Bonds
FDR44,6.11,1,0.103042643,6,131.2968,OFF010,1998,2,2,0,260.9936,15,Bonds
FDP28,13.65,1,0.134975628,5,260.0936,OFF010,1998,2,2,0,260.9936,15,Bonds
FDX15,17.2,0,0.15616879,10,160.6578,OFF013,1987,0,2,1,3690.5294,26,Bonds
FDA39,6.32,0,0.013952322,10,40.2822,OFF035,2004,2,1,1,1139.1838,9,Bonds
FDY24,4.88,1,0.133700752,0,52.9298,OFF049,1999,1,0,1,1995.4026,14,Bonds
FDC60,5.425,1,0.115119905,0,88.3514,OFF017,2007,2,1,1,1416.8224,6,Bonds
FDH28,15.85,1,0.110030997,5,37.2506,OFF046,1997,2,0,1,265.6542,16,Bonds
FDT25,7.5,0,0.051038045,3,121.7072,OFF017,2007,2,1,1,3552.7088,6,Bonds
DRJ13,12.65,0,0.062837968,14,161.5578,OFF013,1987,0,2,1,2406.867,26,ETF
NCO07,9.06,0,0.017116983,11,211.956,OFF019,1985,2,0,0,213.056,28,Private Equity
FDW20,20.75,0,0.024129332,6,124.173,OFF013,1987,0,2,1,2956.152,26,Bonds
DRF27,8.93,0,0.049754975,4,152.134,OFF019,1985,2,0,0,153.134,28,ETF
FDS49,9,0,0.079562248,3,79.7644,OFF035,2004,2,1,1,1649.8524,9,Bonds
FDX25,16.7,0,0.101561568,3,181.9292,OFF027,1985,1,2,3,3101.2964,28,Bonds
NCX42,6.36,0,0.005949644,9,165.6526,OFF027,1985,1,2,3,4769.1254,28,Private Equity
FDG33,5.365,1,0.13956116,12,170.4764,OFF027,1985,1,2,3,3435.528,28,Bonds
FDL56,14.1,0,0.126035694,6,86.4198,OFF045,2002,2,1,1,1133.8574,11,Bonds
FDF14,7.55,0,0.027164679,3,152.334,OFF035,2004,2,1,1,2603.278,9,Bonds
NCD06,13,0,0.099325278,9,45.406,OFF046,1997,2,0,1,605.878,16,Private Equity
DRM47,9.3,0,0.04357366,7,192.8846,OFF027,1985,1,2,3,2293.0152,28,ETF
FDS46,17.6,1,0.082741482,13,118.7782,OFF019,1985,2,0,0,119.1782,28,Bonds
FDB35,12.3,1,0.064565202,15,92.9804,OFF013,1987,0,2,1,1929.4884,26,Bonds
FDX21,7.05,0,0.084554569,13,109.8912,OFF027,1985,1,2,3,2074.6328,28,Bonds
NCU05,11.8,0,0.058451805,8,79.9618,OFF027,1985,1,2,3,241.6854,28,Private Equity
NCR38,17.25,0,0.113748685,9,251.3724,OFF045,2002,2,1,1,6795.1548,11,Private Equity
NCR18,15.85,0,0.020603511,9,42.7112,OFF017,2007,2,1,1,639.168,6,Private Equity
NCU41,18.85,0,0.052044976,8,192.1846,OFF035,2004,2,1,1,3248.4382,9,Private Equity
FDY56,16.35,1,0.062764429,6,227.6062,OFF017,2007,2,1,1,7222.5984,6,Bonds
DRJ51,14.1,0,0.087977262,4,229.0668,OFF035,2004,2,1,1,3225.1352,9,ETF
FDK21,7.905,0,0.010010425,13,249.0408,OFF035,2004,2,1,1,3755.112,9,Bonds
FDY25,12,0,0.033946163,3,179.3976,OFF013,1987,0,2,1,3440.8544,26,Bonds
FDU44,12.15,1,0.058414678,6,163.4552,OFF035,2004,2,1,1,974.7312,9,Bonds
FDL43,10.1,0,0.027106459,10,75.367,OFF049,1999,1,0,1,535.969,14,Bonds
FDF05,17.5,0,0.027022883,5,262.491,OFF017,2007,2,1,1,5259.82,6,Bonds
DRF15,18.35,0,0.058153409,4,152.034,OFF019,1985,2,0,0,306.268,28,ETF
FDL20,17.1,0,0.128937661,6,112.3886,OFF018,2009,1,2,2,1779.0176,4,Bonds
FDV32,7.785,0,0.088846306,6,61.451,OFF049,1999,1,0,1,759.012,14,Bonds
FDJ34,11.8,1,0.09357779,13,125.9704,OFF013,1987,0,2,1,1877.556,26,Bonds
FDG08,13.15,1,0.165694678,6,171.8764,OFF045,2002,2,1,1,3779.0808,11,Bonds
FDQ04,6.4,0,0.148392623,5,41.5796,OFF019,1985,2,0,0,41.2796,28,Bonds
FDW13,8.5,0,0.098438394,3,51.1324,OFF017,2007,2,1,1,259.662,6,Bonds
NCI17,8.645,0,0.143303291,8,96.341,OFF013,1987,0,2,1,193.082,26,Private Equity
FDY03,17.6,1,0.076276208,10,110.9202,OFF045,2002,2,1,1,1687.803,11,Bonds
FDS12,9.1,0,0.175103435,0,127.5362,OFF017,2007,2,1,1,4655.9394,6,Bonds
FDJ55,12.8,1,0.023511371,10,225.9404,OFF013,1987,0,2,1,4950.8888,26,Bonds
DRK01,7.63,0,0.06105276,14,95.4436,OFF035,2004,2,1,1,1418.154,9,ETF
FDG28,9.285,1,0.049559042,5,246.4144,OFF017,2007,2,1,1,1225.072,6,Bonds
FDY38,13.6,1,0.119418124,4,231.03,OFF045,2002,2,1,1,5359.69,11,Bonds
FDN01,8.895,0,0.072545601,2,176.237,OFF045,2002,2,1,1,1764.37,11,Bonds
NCR54,16.35,0,0.090486828,9,195.211,OFF013,1987,0,2,1,2553.343,26,Private Equity
FDG29,17.6,0,0.056245075,5,43.3454,OFF013,1987,0,2,1,1006.6896,26,Bonds
FDG24,7.975,0,0.014618973,0,85.225,OFF013,1987,0,2,1,1081.925,26,Bonds
FDG59,15.85,0,0.043479126,15,36.7164,OFF017,2007,2,1,1,308.9312,6,Bonds
FDM28,15.7,0,0.045166237,5,178.666,OFF013,1987,0,2,1,2516.724,26,Bonds
FDW04,8.985,1,0.057827101,5,128.831,OFF046,1997,2,0,1,1428.141,16,Bonds
FDS26,20.35,0,0.089394766,4,260.1594,OFF013,1987,0,2,1,2093.2752,26,Bonds
FDQ56,6.59,0,0.10550944,6,85.6908,OFF013,1987,0,2,1,1929.4884,26,Bonds
FDK51,19.85,0,0.005234153,4,264.0884,OFF035,2004,2,1,1,5829.7448,9,Bonds
